epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1704.33,0.27468,2.12741,1.04542,0.40551,0.44793,0.35716,0.10177,2.26278,3.79484,3.12361,0.000469005,0.000469005,0.000469005
2,3287.34,0.28002,1.27617,1.01717,0.41937,0.78332,0.58908,0.50676,0.39691,2.57785,0.52724,0.000898544,0.000898544,0.000898544
3,4755.71,0.26997,1.19188,0.99528,0.00332,0.01404,0.0008,0.00027,4.27935,374.268,11.2334,0.00128093,0.00128093,0.00128093
4,6241.65,0.24573,1.13444,0.97616,0.65884,0.717,0.7875,0.71175,0.35099,1.44339,0.48059,0.00121679,0.00121679,0.00121679
5,7680.23,0.20526,1.03144,0.9499,0.7916,0.75592,0.72361,0.65508,0.43589,1.46731,0.57367,0.00114606,0.00114606,0.00114606
6,9141.53,0.19302,0.94687,0.95542,0.80005,0.78658,0.85665,0.78889,0.38666,1.03577,0.52754,0.00107532,0.00107532,0.00107532
7,10606.6,0.16458,0.89236,0.92403,0.70175,0.74722,0.76581,0.7591,0.27818,1.1564,0.4456,0.00100459,0.00100459,0.00100459
8,12047.3,0.15552,0.84697,0.93335,0.83614,0.76248,0.8629,0.83134,0.34474,1.05494,0.49295,0.000933851,0.000933851,0.000933851
9,13526,0.14067,0.82232,0.9368,0.87594,0.80353,0.89987,0.88626,0.29772,0.7302,0.42599,0.000863116,0.000863116,0.000863116
10,14983.1,0.14578,0.77768,0.93808,0.79273,0.80079,0.83925,0.75707,0.32419,0.88158,0.41451,0.00079238,0.00079238,0.00079238
11,16329.5,0.13246,0.9623,0.97965,0.77008,0.8608,0.88516,0.88505,0.15233,0.7888,0.24311,0.000721645,0.000721645,0.000721645
12,17689.3,0.08457,0.71155,0.92343,0.81303,0.83189,0.90181,0.90181,0.18145,0.71951,0.26807,0.000650909,0.000650909,0.000650909
13,19058,0.07124,0.6404,0.92572,0.78092,0.85529,0.90405,0.90405,0.17407,0.73189,0.24721,0.000580174,0.000580174,0.000580174
14,20465.8,0.05971,0.58062,0.92101,0.80802,0.86874,0.91356,0.91356,0.1445,0.83438,0.20964,0.000509438,0.000509438,0.000509438
15,22003.8,0.05783,0.57857,0.92648,0.88937,0.85846,0.93545,0.93545,0.11819,0.56621,0.17033,0.000438703,0.000438703,0.000438703
16,23432.4,0.04906,0.52573,0.91775,0.84845,0.90224,0.9352,0.9352,0.14093,0.63888,0.19875,0.000367967,0.000367967,0.000367967
17,24843.4,0.04478,0.50689,0.91294,0.88376,0.91131,0.9395,0.9395,0.14082,0.51469,0.19453,0.000297232,0.000297232,0.000297232
18,26416.5,0.04422,0.47451,0.91061,0.87228,0.85663,0.94108,0.94108,0.15556,0.61454,0.20332,0.000226497,0.000226497,0.000226497
19,27875.5,0.03481,0.44958,0.91192,0.90369,0.88557,0.94506,0.94506,0.13242,0.604,0.18128,0.000155761,0.000155761,0.000155761
20,29325.6,0.03159,0.42218,0.90998,0.88811,0.89093,0.94071,0.94071,0.13017,0.6498,0.17864,8.50255e-05,8.50255e-05,8.50255e-05
